kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K00658.01,CONFIRMED,CANDIDATE,3.162692075,0.716,1.9529,503.7,2.61,1308.0,692.32,5821.0,4.355,1.085,297.09,41.388031
K00707.03,CONFIRMED,CANDIDATE,31.7848157,0.015,8.8077,444.5,3.55,752.0,75.59,5900.0,4.022,1.694,289.07755,46.005219
K00707.04,CONFIRMED,CANDIDATE,13.17555999,0.013,6.6677,280.0,2.82,1009.0,244.58,5900.0,4.022,1.694,289.07755,46.005219
K00707.05,CONFIRMED,CANDIDATE,5.66815821,0.177,4.9064,119.7,1.85,1336.0,752.7,5900.0,4.022,1.694,289.07755,46.005219
K00708.01,CONFIRMED,CANDIDATE,17.40665216,0.022,6.864,586.9,2.95,814.0,104.04,6086.0,4.274,1.216,293.72806,46.12915
K04577.02,CANDIDATE,CANDIDATE,3.07365139,0.034,2.102,90.5,0.79,1215.0,515.92,6068.0,4.565,0.831,295.6709,47.830399
K00109.01,FALSE POSITIVE,FALSE POSITIVE,6.41496453,1.187,3.9015,201.2,25.79,1153.0,417.97,6170.0,4.2589999999999995,1.183,293.45428,39.803928000000006
K00658.02,CONFIRMED,CANDIDATE,5.370639542,0.667,2.1121,491.3,2.54,1096.0,341.68,5821.0,4.355,1.085,297.09,41.388031
K00658.03,CONFIRMED,CANDIDATE,11.32977062,0.036,3.845,162.4,1.37,855.0,126.21,5821.0,4.355,1.085,297.09,41.388031
K00660.01,CONFIRMED,CANDIDATE,6.07972016,0.471,7.1228,290.8,2.32,1111.0,360.77,5460.0,4.138999999999999,1.346,284.91943,41.617191
K00661.01,CONFIRMED,CANDIDATE,14.40090414,0.872,4.1682,379.6,2.71,828.0,111.24,5815.0,4.27,1.198,285.3472,41.761921
K00708.02,CONFIRMED,CANDIDATE,7.69363627,0.366,5.0324,295.1,2.12,1069.0,308.61,6086.0,4.274,1.216,293.72806,46.12915
K00709.01,CONFIRMED,CANDIDATE,21.3851584,0.518,4.0819,663.9,2.17,574.0,25.63,5376.0,4.516,0.825,287.33279,46.203509999999994
K00710.01,CONFIRMED,CANDIDATE,5.37493289,0.228,3.9567,155.8,2.12,1413.0,942.35,6167.0,4.037,1.689,293.03775,46.277519
K00710.02,CONFIRMED,CANDIDATE,8.58600968,0.728,3.3443,102.1,1.84,1208.0,503.98,6167.0,4.037,1.689,293.03775,46.277519
K04622.02,CANDIDATE,CANDIDATE,4.50158249,0.016,1.855,175.7,0.73,676.0,49.21,4339.0,4.711,0.553,284.56689,49.01255
K00710.03,CONFIRMED,CANDIDATE,3.88688862,0.035,3.683,58.3,1.29,1574.0,1448.04,6167.0,4.037,1.689,293.03775,46.277519
