P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
6.25,1.76,1.15,2.02,263.8315,1026.8,-24.49,3.83,0.0,0.92,0.85,5453.0,19.4926,42.2333,1,0,-2.33,-0.14,-0.59,0.29,0.27,0,0,1,2016.0
26.46,5.11,0.2,1.01,37.010740000000006,628.4,-24.67,5.42,0.0,0.6,0.59,4188.0,19.6159,45.1973,1,0,-2.06,3.48,0.03,0.2,0.18,0,0,1,2016.0
8.79,3.54,0.2,0.7,8.773536,438.5,-22.3,87.97,0.0,1.04,1.12,5884.0,19.9224,40.2931,1,0,-1.81,2.74,-0.27,0.23,0.31,0,0,1,2016.0
2.37,1.34,0.97,1.31,43.67179,654.9,-21.94,2.89,0.0,0.56,0.54,3655.0,19.3971,49.3663,1,0,-2.03,-0.16,-0.73,0.32,0.32,0,0,1,2016.0
5.54,1.7,1.12,1.91,967.7505,1421.0,-25.83,0.87,0.0,0.8,0.74,4817.0,19.2289,40.3809,1,0,-2.34,-0.15,-0.8,0.29,0.27,0,0,1,2016.0
23.62,4.92,0.2,0.98,11.22482,466.3,-23.29,11.13,0.0,0.54,0.53,4094.0,19.6352,46.641,2,0,-1.83,3.38,0.23,0.21,0.25,0,0,1,2016.0
22.16,2.4,1.61,3.86,95.92314,797.3,-24.06,2.23,0.0,0.54,0.53,4094.0,19.6352,46.641,2,0,-2.15,-0.12,0.35,0.31,0.25,0,0,1,2016.0
3.59,1.51,1.04,1.57,116.2604,836.6,-23.26,4.12,0.0,0.78,0.73,4776.0,19.4123,40.3112,1,0,-2.23,-0.15,-0.7,0.3,0.29,0,0,1,2016.0
4.51,2.86,0.19,0.55,17.62929,522.0,-22.59,33.88,0.0,0.93,0.91,5550.0,19.0011,42.0854,1,0,-2.0,2.49,-0.67,0.23,0.28,0,0,1,2016.0
14.51,4.18,0.2,0.83,76.73655,754.0,-25.03,42.35,0.0,1.45,1.74,6725.0,19.7481,39.269,1,0,-2.28,3.02,-0.42,0.21,0.19,0,0,1,2016.0
6.88,1.8,1.17,2.12,80.35547,762.8,-23.25,14.89,0.0,1.02,1.03,5885.0,19.271,50.461,1,0,-2.26,-0.14,-0.36,0.3,0.28,0,0,1,2016.0
0.8,0.97,0.86,0.84,342.8713,1096.3,-23.49,4.52,0.0,1.0,0.99,5780.0,18.9784,44.4178,1,0,-2.37,-0.17,-1.2,0.27,0.3,0,0,1,2016.0
14.46,2.17,1.41,3.06,28.970370000000003,591.1,-22.54,9.34,0.0,0.72,0.69,4500.0,18.7765,48.271,1,0,-2.04,-0.13,0.32,0.33,0.29,0,0,1,2016.0
4.89,1.65,1.1,1.8,95.6404,796.7,-23.24,10.11,0.0,0.97,0.94,5608.0,19.3718,39.9569,1,0,-2.27,-0.15,-0.55,0.3,0.29,0,0,1,2016.0
1.03,1.05,0.88,0.93,786.5536,1349.2,-24.56,0.79,0.0,0.72,0.69,4508.0,19.8049,41.2245,1,0,-2.3,-0.17,-1.21,0.28,0.29,0,0,1,2016.0
2.51,1.37,0.98,1.34,70.34463000000001,737.8,-22.49,11.87,0.0,0.95,0.9,5581.0,19.4019,43.9137,1,0,-2.23,-0.16,-0.77,0.3,0.3,0,0,1,2016.0
4.29,2.81,0.19,0.54,3.9516709999999997,359.2,-20.93,109.65,0.0,0.94,0.92,5628.0,19.5685,41.1114,1,0,-1.49,2.48,-0.47,0.25,0.46,0,0,1,2016.0
17.93,2.28,1.5,3.43,51.33613,681.9,-23.27,15.65,0.0,0.94,0.91,5614.0,19.2874,51.3209,1,0,-2.19,-0.12,0.34,0.31,0.27,0,0,1,2016.0
3.05,1.44,1.01,1.46,76.4503,753.3,-22.71,6.26,0.0,0.77,0.74,4903.0,18.9892,42.0704,1,0,-2.2,-0.16,-0.71,0.3,0.3,0,0,1,2016.0
9.95,1.98,1.28,2.53,57.5826,701.8,-23.09,23.2,0.0,0.94,1.3,5512.0,19.7518,46.8999,2,0,-2.2,-0.13,-0.1,0.31,0.28,0,0,1,2016.0
5.68,1.71,1.13,1.93,367.523,1115.5,-24.79,5.78,0.0,0.94,1.3,5512.0,19.7518,46.8999,2,0,-2.36,-0.15,-0.68,0.29,0.27,0,0,1,2016.0
22.64,2.41,1.62,3.9,7.891062,427.0,-21.34,24.4,0.0,0.7,0.67,4523.0,19.1339,46.7961,1,0,-1.76,-0.12,1.14,0.32,0.38,0,0,1,2016.0
5.02,1.66,1.1,1.83,643.637,1283.2,-25.33,2.22,0.0,0.93,0.9,5527.0,19.8013,43.4325,1,0,-2.38,-0.15,-0.79,0.28,0.27,0,0,1,2016.0
8.88,1.93,1.24,2.39,459.9384,1179.8,-25.29,3.35,0.0,0.95,0.93,5759.0,19.6196,50.7254,1,0,-2.38,-0.14,-0.52,0.29,0.26,0,0,1,2016.0
7.38,1.84,1.19,2.19,450.4913,1173.7,-25.17,4.77,0.0,1.09,1.13,5981.0,19.1391,46.9458,1,0,-2.39,-0.14,-0.6,0.29,0.27,0,0,1,2016.0
20.8,2.36,1.58,3.72,51.14317,681.3,-23.34,44.62,0.0,1.32,1.55,6449.0,19.4985,46.0228,1,0,-2.22,-0.12,0.47,0.31,0.26,0,0,1,2016.0
4.2,1.58,1.07,1.68,869.5132,1383.5,-25.55,3.4,0.0,1.14,1.21,6133.0,19.4561,45.1792,1,0,-2.43,-0.15,-0.88,0.28,0.28,0,0,1,2016.0
0.96,1.03,0.88,0.9,35.94952,623.8,-21.15,14.01,0.0,0.82,0.79,5193.0,19.9773,40.8439,1,0,-2.12,-0.17,-0.98,0.3,0.33,0,0,1,2016.0
9.09,1.94,1.25,2.42,36.19058,624.9,-22.53,27.57,0.0,1.04,1.04,5911.0,19.4725,49.7888,1,0,-2.15,-0.14,-0.05,0.32,0.29,0,0,1,2016.0
3.02,2.52,0.19,0.48,28.34015,587.8,-22.84,4.5,0.0,0.55,0.53,3827.0,19.2167,46.6796,2,0,-1.99,2.4,-0.86,0.24,0.27,0,0,1,2016.0
5.82,1.72,1.13,1.95,98.4846,802.6,-23.37,1.77,0.0,0.55,0.53,3827.0,19.2167,46.6796,2,0,-2.13,-0.15,-0.48,0.31,0.28,0,0,1,2016.0
0.22,0.65,0.78,0.51,582.299,1251.5,-23.18,0.92,0.0,0.7,0.67,4439.0,19.5739,42.1977,1,0,-2.28,-0.19,-1.42,0.27,0.28,0,0,1,2016.0
6.88,1.8,1.17,2.12,10.520769999999999,458.8,-21.03,24.75,0.0,0.76,0.72,4776.0,19.7157,42.5763,1,0,-1.85,-0.14,0.03,0.35,0.38,0,0,1,2016.0
5.1,2.97,0.19,0.58,14.518220000000001,497.3,-22.47,76.61,0.0,1.16,1.24,6168.0,19.4163,37.7591,1,0,-1.96,2.53,-0.59,0.24,0.29,0,0,1,2016.0
1.98,1.28,0.95,1.21,450.0561,1173.4,-24.37,3.01,0.0,0.93,0.9,5597.0,19.4365,50.3533,1,0,-2.37,-0.16,-1.03,0.28,0.29,0,0,1,2016.0
1.27,1.12,0.9,1.01,88.76401,782.0,-22.31,7.06,0.0,0.82,0.79,5181.0,19.078,43.0089,1,0,-2.23,-0.17,-0.99,0.29,0.31,0,0,1,2016.0
4.34,2.82,0.19,0.55,3.03524,336.3,-20.65,59.5,0.0,0.78,0.72,4709.0,19.3026,41.8928,1,0,-1.38,2.48,-0.42,0.26,0.51,0,0,1,2016.0
7.73,3.39,0.2,0.67,90.40209,785.6,-24.75,40.53,0.0,1.51,1.83,6778.0,20.0229,45.6232,1,0,-2.3,2.68,-0.69,0.22,0.21,0,0,1,2016.0
0.53,0.86,0.83,0.72,209.9377,969.8,-22.68,3.58,0.0,0.83,0.79,5131.0,18.9044,46.9043,1,0,-2.3,-0.18,-1.24,0.28,0.3,0,0,1,2016.0
1.86,1.25,0.94,1.18,189.7451,945.6,-23.39,2.94,0.0,0.76,0.72,4839.0,19.7998,49.2564,1,0,-2.27,-0.16,-0.96,0.29,0.3,0,0,1,2016.0
13.85,2.15,1.39,2.99,390.8477,1132.8,-25.36,13.32,0.0,1.49,1.79,6805.0,19.6768,49.5876,1,0,-2.42,-0.13,-0.27,0.29,0.25,0,0,1,2016.0
0.66,0.92,0.85,0.78,188.3518,943.8,-22.7,7.7,0.0,1.0,1.05,5770.0,19.48,42.0461,2,0,-2.33,-0.18,-1.2,0.28,0.3,0,0,1,2016.0
0.41,0.8,0.82,0.65,356.1997,1106.8,-23.08,4.77,0.0,1.0,1.05,5770.0,19.48,42.0461,2,0,-2.37,-0.18,-1.31,0.27,0.29,0,0,1,2016.0
2.97,1.43,1.01,1.44,113.7088,831.9,-23.12,2.16,0.0,0.62,0.6,4070.0,19.0043,41.5549,1,0,-2.16,-0.16,-0.77,0.3,0.29,0,0,1,2016.0
0.66,0.92,0.85,0.78,180.1144,933.3,-22.65,1.57,0.0,0.62,0.6,4106.0,19.2278,47.8787,1,0,-2.2,-0.18,-1.19,0.29,0.3,0,0,1,2016.0
3.72,2.69,0.19,0.51,33.28461,611.9,-23.15,25.87,0.0,0.99,0.99,5761.0,19.0531,40.9362,1,0,-2.13,2.44,-0.81,0.23,0.26,0,0,1,2016.0
7.38,1.84,1.19,2.19,93.00525,791.2,-23.45,20.26,0.0,1.19,1.29,6202.0,18.971,41.7785,2,0,-2.29,-0.14,-0.35,0.3,0.28,0,0,1,2016.0
1.92,1.27,0.95,1.2,353.6753,1104.8,-24.09,7.44,0.0,1.19,1.29,6202.0,18.971,41.7785,2,0,-2.39,-0.16,-1.01,0.28,0.29,0,0,1,2016.0
0.31,0.73,0.8,0.58,281.1098,1043.2,-22.63,3.45,0.0,0.87,0.83,5361.0,19.2554,47.552,2,0,-2.33,-0.18,-1.34,0.27,0.29,0,0,1,2016.0
0.2,0.64,0.78,0.5,578.6185,1249.5,-23.13,2.01,0.0,0.87,0.83,5361.0,19.2554,47.552,2,0,-2.37,-0.19,-1.42,0.27,0.28,0,0,1,2016.0
17.93,2.28,1.5,3.43,58.6909,705.2,-23.42,10.65,0.0,0.85,0.81,5323.0,19.4233,45.1723,1,0,-2.2,-0.12,0.31,0.31,0.26,0,0,1,2016.0
1.03,1.05,0.88,0.93,247.4912,1010.5,-23.3,5.31,0.0,0.98,0.97,5659.0,19.1306,42.5414,1,0,-2.34,-0.17,-1.13,0.28,0.3,0,0,1,2016.0
15.1,2.2,1.43,3.13,18.415210000000002,527.8,-22.07,11.95,0.0,0.7,0.67,4407.0,19.8249,40.3664,1,0,-1.96,-0.13,0.48,0.33,0.31,0,0,1,2016.0
2.97,1.43,1.01,1.44,91.26588000000001,787.4,-22.88,10.31,0.0,0.96,0.94,5570.0,19.2077,42.4404,1,0,-2.26,-0.16,-0.74,0.3,0.3,0,0,1,2016.0
16.81,2.25,1.47,3.32,31.11412,601.7,-22.69,25.38,0.0,0.96,0.94,5747.0,19.1691,48.7278,1,0,-2.12,-0.12,0.42,0.32,0.28,0,0,1,2016.0
8.1,1.88,1.22,2.29,195.9697,953.2,-24.31,16.36,0.0,1.36,1.72,6161.0,19.6918,39.048,1,0,-2.35,-0.14,-0.43,0.29,0.27,0,0,1,2016.0
2.81,1.41,1.0,1.41,205.0361,964.1,-23.73,13.91,0.0,1.26,1.44,6370.0,19.863,42.1919,1,0,-2.36,-0.16,-0.85,0.28,0.29,0,0,1,2016.0
9.09,1.94,1.25,2.42,23.217979999999997,559.2,-22.05,15.36,0.0,0.78,0.74,4919.0,19.7477,39.527,1,0,-2.03,-0.14,0.04,0.33,0.31,0,0,1,2016.0
0.51,0.85,0.83,0.71,932.2234,1407.7,-24.28,2.89,0.0,1.15,1.29,5732.0,18.8421,46.4811,1,0,-2.41,-0.18,-1.33,0.27,0.29,0,0,1,2016.0
1.81,1.24,0.94,1.17,208.2012,967.8,-23.47,6.74,0.0,1.02,1.03,5733.0,18.7216,42.6361,1,0,-2.34,-0.16,-0.98,0.28,0.3,0,0,1,2016.0
0.68,0.93,0.85,0.79,342.746,1096.2,-23.38,2.28,0.0,0.82,0.77,5046.0,19.496,43.2094,1,0,-2.32,-0.18,-1.23,0.28,0.3,0,0,1,2016.0
3.28,2.59,0.19,0.49,11.80509,472.2,-21.94,12.29,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.84,2.42,-0.73,0.24,0.33,0,0,1,2016.0
17.18,2.26,1.48,3.36,34.17075,616.0,-22.81,5.54,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-2.04,-0.12,0.42,0.32,0.28,0,0,1,2016.0
4.51,2.86,0.19,0.55,5.791939,395.2,-21.38,20.96,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.64,2.49,-0.51,0.25,0.4,0,0,1,2016.0
24.64,2.45,1.67,4.09,2.65361,325.2,-20.2,37.63,0.0,0.63,0.61,4098.0,18.8891,47.1745,4,0,-1.32,-0.11,1.67,0.32,0.56,0,0,1,2016.0
1.49,1.18,0.92,1.08,206.838,966.2,-23.34,6.48,0.0,0.98,0.98,5753.0,19.9108,48.2488,1,0,-2.34,-0.17,-1.03,0.28,0.3,0,0,1,2016.0
5.27,1.68,1.11,1.87,15.68625,507.0,-21.31,54.41,0.0,1.03,1.1,5840.0,19.6554,46.6596,1,0,-1.98,-0.15,-0.21,0.33,0.35,0,0,1,2016.0
9.51,1.96,1.26,2.47,44.35926,657.5,-22.78,15.14,0.0,0.88,0.85,5479.0,19.2511,46.3944,1,0,-2.17,-0.14,-0.07,0.32,0.29,0,0,1,2016.0
0.41,0.8,0.82,0.65,656.9222,1289.8,-23.75,2.44,0.0,0.95,0.92,5697.0,18.964,40.1426,1,0,-2.39,-0.18,-1.34,0.27,0.29,0,0,1,2016.0
0.41,0.8,0.82,0.65,768.4608,1341.4,-23.92,3.78,0.0,1.17,1.23,6138.0,19.4892,47.6642,1,0,-2.42,-0.18,-1.35,0.26,0.29,0,0,1,2016.0
11.88,2.07,1.34,2.77,103.9849,813.6,-23.83,18.22,0.0,1.18,1.27,6195.0,19.6224,44.9183,1,0,-2.3,-0.13,-0.11,0.3,0.26,0,0,1,2016.0
5.68,1.71,1.13,1.93,21.30548,547.4,-21.69,47.45,0.0,1.09,1.12,6026.0,19.9784,47.0758,1,0,-2.05,-0.15,-0.23,0.33,0.33,0,0,1,2016.0
0.96,1.03,0.88,0.9,637.5749,1280.2,-24.28,4.14,0.0,1.13,1.18,6126.0,19.6577,48.639,2,0,-2.42,-0.17,-1.21,0.27,0.3,0,0,1,2016.0
4.65,1.62,1.09,1.76,55.27093000000001,694.7,-22.61,9.07,0.0,0.83,0.78,5044.0,19.0848,45.4408,1,0,-2.17,-0.15,-0.49,0.31,0.3,0,0,1,2016.0
5.27,1.68,1.11,1.87,136.844,871.4,-23.67,11.2,0.0,1.07,1.1,5964.0,19.1644,40.7585,1,0,-2.32,-0.15,-0.57,0.3,0.28,0,0,1,2016.0
0.36,0.76,0.81,0.62,635.3729,1279.1,-23.62,2.03,0.0,0.9,0.87,5416.0,19.4565,48.9681,1,0,-2.37,-0.18,-1.36,0.27,0.29,0,0,1,2016.0
13.55,2.14,1.38,2.96,433.3474,1162.4,-25.46,5.19,0.0,1.11,1.15,6060.0,19.3912,38.9601,1,0,-2.4,-0.13,-0.3,0.29,0.25,0,0,1,2016.0
10.4,2.0,1.29,2.59,32.1956,606.9,-22.48,15.93,0.0,0.84,0.8,5261.0,19.734,50.4984,1,0,-2.11,-0.13,0.06,0.32,0.29,0,0,1,2016.0
12.3,3.95,0.2,0.79,37.24236,629.4,-24.12,28.23,0.0,1.05,1.07,5925.0,19.7123,39.2561,1,0,-2.16,2.92,-0.37,0.21,0.21,0,0,1,2016.0
1.18,1.1,0.9,0.98,130.1684,860.5,-22.69,11.63,0.0,1.05,1.12,5892.0,19.4721,38.915,1,0,-2.31,-0.17,-1.05,0.28,0.3,0,0,1,2016.0
16.81,2.25,1.47,3.32,69.56746,735.8,-23.57,20.07,0.0,1.1,1.15,6010.0,18.9295,41.4716,1,0,-2.25,-0.12,0.22,0.31,0.26,0,0,1,2016.0
4.34,2.82,0.19,0.55,5.555006,391.1,-21.31,86.12,0.0,0.95,0.92,5664.0,19.0908,42.9639,1,0,-1.64,2.48,-0.52,0.25,0.4,0,0,1,2016.0
0.47,0.83,0.82,0.68,783.494,1347.9,-24.03,3.61,0.0,1.06,1.27,5880.0,19.4787,49.2025,1,0,-2.41,-0.18,-1.33,0.27,0.29,0,0,1,2016.0
7.04,1.81,1.18,2.14,39.43274,638.4,-22.48,13.18,0.0,0.84,0.8,5196.0,19.6228,46.4988,1,0,-2.14,-0.14,-0.22,0.32,0.3,0,0,1,2016.0
1.75,1.23,0.94,1.15,171.9276,922.5,-23.24,3.52,0.0,0.8,0.75,4951.0,18.9952,42.4223,1,0,-2.27,-0.16,-0.97,0.29,0.3,0,0,1,2016.0
0.86,1.0,0.87,0.86,50.34126,678.6,-21.44,20.35,0.0,1.02,1.02,5839.0,19.3967,40.6052,1,0,-2.2,-0.17,-1.04,0.29,0.32,0,0,1,2016.0
5.02,1.66,1.1,1.83,11.80263,472.2,-20.97,22.48,0.0,0.77,0.72,4770.0,18.8665,41.6786,1,0,-1.88,-0.15,-0.18,0.35,0.38,0,0,1,2016.0
4.51,2.86,0.19,0.55,18.057879999999997,525.2,-22.62,42.52,0.0,1.01,1.01,5796.0,19.4836,37.9714,1,0,-2.01,2.49,-0.67,0.23,0.28,0,0,1,2016.0
1.98,1.28,0.95,1.21,95.68608,796.8,-22.68,6.7,0.0,0.82,0.79,5187.0,19.7469,42.7778,1,0,-2.24,-0.16,-0.88,0.29,0.3,0,0,1,2016.0
0.68,0.93,0.85,0.79,498.038,1203.5,-23.79,6.91,0.0,1.25,1.42,6335.0,19.1054,48.5442,1,0,-2.41,-0.18,-1.25,0.27,0.3,0,0,1,2016.0
10.64,2.02,1.3,2.62,96.43951,798.4,-23.69,18.61,0.0,1.15,1.23,6194.0,19.5927,48.3361,1,0,-2.29,-0.13,-0.16,0.3,0.27,0,0,1,2016.0
1.07,1.06,0.89,0.94,13.292110000000001,486.5,-20.13,23.96,0.0,0.79,0.75,4939.0,19.2163,41.1101,1,0,-1.91,-0.17,-0.85,0.32,0.39,0,0,1,2016.0
1.4,1.15,0.91,1.05,33.57835,613.3,-21.32,29.61,0.0,1.02,1.07,5838.0,19.3994,40.2293,1,0,-2.14,-0.17,-0.87,0.3,0.33,0,0,1,2016.0
0.71,0.94,0.85,0.8,65.53260999999999,724.9,-21.6,14.45,0.0,0.97,0.95,5718.0,19.6634,43.0124,1,0,-2.23,-0.18,-1.11,0.29,0.31,0,0,1,2016.0
3.99,1.56,1.06,1.65,80.46982,763.1,-22.93,14.26,0.0,1.02,1.02,5831.0,19.5031,49.417,1,0,-2.26,-0.15,-0.61,0.3,0.29,0,0,1,2016.0
4.77,1.64,1.09,1.78,228.7377,990.8,-24.17,10.68,0.0,1.28,1.36,6184.0,19.8428,49.595,1,0,-2.36,-0.15,-0.68,0.29,0.28,0,0,1,2016.0
2.04,1.29,0.96,1.23,426.097,1157.5,-24.33,4.48,0.0,1.05,1.07,5902.0,19.0244,49.0449,1,0,-2.39,-0.16,-1.01,0.28,0.29,0,0,1,2016.0
1.49,1.18,0.92,1.08,230.3342,992.5,-23.46,2.46,0.0,0.77,0.72,4796.0,19.3132,43.3721,1,0,-2.27,-0.17,-1.04,0.29,0.3,0,0,1,2016.0
3.22,1.47,1.02,1.5,261.841,1024.8,-24.08,5.87,0.0,1.03,1.03,5806.0,19.5106,49.8652,1,0,-2.36,-0.16,-0.83,0.29,0.29,0,0,1,2016.0
15.76,2.22,1.45,3.21,54.26327,691.5,-23.27,23.91,0.0,1.09,1.13,6031.0,19.7016,49.8295,1,0,-2.22,-0.12,0.23,0.31,0.27,0,0,1,2016.0
3.99,1.56,1.06,1.65,632.9891,1277.9,-25.18,4.14,0.0,1.14,1.19,6097.0,19.1576,49.4569,1,0,-2.41,-0.15,-0.86,0.28,0.28,0,0,1,2016.0
1.23,1.11,0.9,1.0,731.9766,1325.2,-24.59,8.05,0.0,1.47,2.04,6291.0,19.7026,51.203,1,0,-2.43,-0.17,-1.17,0.27,0.29,0,0,1,2016.0
0.53,0.86,0.83,0.72,801.0089,1355.4,-24.14,4.45,0.0,1.21,1.32,6356.0,19.4116,44.9211,1,0,-2.43,-0.18,-1.32,0.27,0.29,0,0,1,2016.0
2.17,1.31,0.96,1.26,164.5491,912.5,-23.33,9.71,0.0,1.06,1.09,5972.0,19.8474,46.768,1,0,-2.33,-0.16,-0.91,0.29,0.3,0,0,1,2016.0
2.51,1.37,0.98,1.34,78.32958,757.9,-22.61,10.93,0.0,0.93,0.9,5557.0,19.4577,49.3259,1,0,-2.24,-0.16,-0.78,0.3,0.3,0,0,1,2016.0
0.71,0.94,0.85,0.8,671.367,1296.8,-24.14,2.32,0.0,0.97,0.96,5530.0,19.286,40.6817,1,0,-2.38,-0.18,-1.26,0.27,0.29,0,0,1,2016.0
3.14,1.46,1.02,1.48,7.357844,419.6,-20.17,8.07,0.0,0.46,0.43,3578.0,19.0493,40.98,1,0,-1.69,-0.16,-0.34,0.37,0.45,0,0,1,2016.0
1.86,1.25,0.94,1.18,16.947670000000002,516.9,-20.76,39.86,0.0,0.98,0.96,5698.0,19.0231,48.3123,1,0,-2.0,-0.16,-0.69,0.32,0.37,0,0,1,2016.0
2.17,1.31,0.96,1.26,19.78047,537.3,-21.02,39.44,0.0,1.0,1.0,5802.0,19.5813,43.1246,1,0,-2.03,-0.16,-0.66,0.32,0.35,0,0,1,2016.0
12.09,3.93,0.2,0.78,18.93802,531.5,-23.37,81.42,0.0,1.34,1.44,6394.0,19.417,48.847,1,0,-2.03,2.91,-0.26,0.22,0.24,0,0,1,2016.0
14.46,2.17,1.41,3.06,26.81519,579.7,-22.45,33.42,0.0,1.03,1.05,5810.0,19.022,42.0404,1,0,-2.1,-0.13,0.34,0.32,0.29,0,0,1,2016.0
0.77,0.96,0.86,0.83,210.6802,970.6,-22.93,10.6,0.0,1.13,1.26,6150.0,18.6833,43.9151,1,0,-2.36,-0.17,-1.18,0.27,0.3,0,0,1,2016.0
4.74,2.9,0.19,0.56,10.628589999999999,460.0,-22.08,56.67,0.0,0.97,0.95,5722.0,19.3096,50.7271,1,0,-1.87,2.51,-0.58,0.24,0.32,0,0,1,2016.0
4.54,1.61,1.08,1.74,82.37031999999999,767.5,-23.03,12.27,0.0,0.95,0.93,5774.0,19.1912,50.5956,1,0,-2.26,-0.15,-0.56,0.3,0.29,0,0,1,2016.0
5.27,1.68,1.11,1.87,110.049,825.2,-23.43,13.23,0.0,1.08,1.1,5979.0,19.2154,50.5679,1,0,-2.3,-0.15,-0.54,0.3,0.28,0,0,1,2016.0
5.68,1.71,1.13,1.93,2.75959,328.4,-19.46,54.51,0.0,0.71,0.68,4524.0,19.6369,45.0814,1,0,-1.34,-0.15,0.21,0.42,0.62,0,0,1,2016.0
7.42,3.35,0.2,0.66,21.90241,551.1,-23.18,35.62,0.0,1.0,0.99,5782.0,19.5631,40.4099,1,0,-2.06,2.67,-0.5,0.23,0.25,0,0,1,2016.0
3.77,2.7,0.19,0.52,72.93475,744.5,-24.02,42.91,0.0,1.41,2.06,6101.0,19.4949,38.2663,1,0,-2.26,2.45,-0.89,0.22,0.24,0,0,1,2016.0
3.62,2.67,0.19,0.51,12.77317,481.6,-22.09,47.16,0.0,0.97,0.94,5665.0,19.075,47.9476,1,0,-1.92,2.44,-0.7,0.24,0.32,0,0,1,2016.0
8.1,1.88,1.22,2.29,9.648587,449.0,-21.03,47.03,0.0,0.9,0.86,5448.0,18.9482,48.8318,1,0,-1.84,-0.14,0.16,0.35,0.39,0,0,1,2016.0
1.35,1.14,0.91,1.04,8.15718,430.6,-19.75,18.14,0.0,0.64,0.62,4231.0,19.1297,43.8228,1,0,-1.75,-0.17,-0.71,0.34,0.45,0,0,1,2016.0
10.17,1.99,1.28,2.56,14.824539999999999,499.9,-21.62,51.11,0.0,1.01,1.01,5866.0,18.918,42.0272,1,0,-1.97,-0.13,0.22,0.34,0.34,0,0,1,2016.0
4.02,2.76,0.19,0.53,12.4612,478.7,-22.14,47.99,0.0,0.96,0.94,5653.0,18.8808,41.0381,1,0,-1.92,2.46,-0.66,0.24,0.31,0,0,1,2016.0
2.44,1.36,0.98,1.33,3.291723,343.2,-19.14,62.87,0.0,0.78,0.74,4828.0,18.8282,46.014,1,0,-1.42,-0.16,-0.33,0.41,0.61,0,0,1,2016.0
9.51,1.96,1.26,2.47,5.482474,389.8,-20.5,29.96,0.0,0.7,0.67,4422.0,19.0372,44.0108,1,0,-1.63,-0.14,0.43,0.37,0.46,0,0,1,2016.0
10.88,2.03,1.31,2.65,9.711573,449.7,-21.2,29.35,0.0,0.79,0.74,4919.0,19.0554,43.1984,1,0,-1.83,-0.13,0.38,0.35,0.38,0,0,1,2016.0
11.08,3.82,0.2,0.76,9.713696,449.8,-22.58,65.65,0.0,1.0,1.0,5756.0,19.7598,42.3969,1,0,-1.84,2.86,-0.18,0.23,0.29,0,0,1,2016.0
7.73,1.86,1.2,2.24,30.66491,599.5,-22.26,25.16,0.0,0.96,0.95,5679.0,19.6325,42.0069,1,0,-2.12,-0.14,-0.12,0.32,0.3,0,0,1,2016.0
5.02,1.66,1.1,1.83,27.040329999999997,581.0,-21.87,31.78,0.0,1.02,1.01,5828.0,19.149,38.7542,2,0,-2.1,-0.15,-0.33,0.32,0.32,0,0,1,2016.0
0.86,1.0,0.87,0.86,292.4966,1053.6,-23.36,5.33,0.0,1.02,1.01,5828.0,19.149,38.7542,2,0,-2.36,-0.17,-1.18,0.27,0.3,0,0,1,2016.0
6.4,1.77,1.16,2.05,7.078060000000001,415.6,-20.55,31.83,0.0,0.75,0.71,4726.0,19.3213,51.9049,1,0,-1.73,-0.14,0.07,0.37,0.43,0,0,1,2016.0
3.88,1.55,1.05,1.63,29.58953,594.2,-21.82,31.18,0.0,1.01,1.02,5884.0,19.3221,44.6099,1,0,-2.12,-0.15,-0.47,0.32,0.32,0,0,1,2016.0
7.04,3.29,0.2,0.65,8.290146,432.3,-22.08,47.06,0.0,0.86,0.82,5332.0,19.6699,45.3427,1,0,-1.79,2.64,-0.37,0.24,0.33,0,0,1,2016.0
5.82,1.72,1.13,1.95,182.3954,936.3,-24.04,8.24,0.0,1.04,1.05,5893.0,19.568,41.2774,2,0,-2.34,-0.15,-0.57,0.29,0.28,0,0,1,2016.0
1.4,1.15,0.91,1.05,561.4761,1240.2,-24.39,3.55,0.0,1.04,1.05,5893.0,19.568,41.2774,2,0,-2.4,-0.17,-1.12,0.27,0.29,0,0,1,2016.0
4.24,2.8,0.19,0.54,29.522879999999997,593.9,-23.11,21.86,0.0,0.92,0.89,5507.0,19.5881,39.3914,1,0,-2.1,2.48,-0.75,0.23,0.26,0,0,1,2016.0
1.07,1.06,0.89,0.94,23.03063,558.1,-20.73,16.3,0.0,0.8,0.76,4961.0,19.2463,39.8832,1,0,-2.03,-0.17,-0.91,0.31,0.35,0,0,1,2016.0
2.81,1.41,1.0,1.41,384.5725,1128.2,-24.42,3.64,0.0,0.95,0.93,5660.0,19.311,50.02,1,0,-2.37,-0.16,-0.92,0.28,0.29,0,0,1,2016.0
8.48,1.9,1.23,2.34,37.18642,629.1,-22.52,38.13,0.0,1.16,1.25,6159.0,19.6568,49.0575,1,0,-2.16,-0.14,-0.1,0.32,0.29,0,0,1,2016.0
