pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
GJ 1132 b,Transit,2,1.62893100,0.015300,0.220000,0.00522,,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,3270.00,0.18,0.21
GJ 1132 c,Transit,2,8.92900000,0.047600,0.270000,0.00831,,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,3270.00,0.18,0.21
GJ 1148 b,Radial Velocity,2,41.38000000,0.166000,0.380000,0.30425,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,3264.00,0.35,0.40
GJ 1148 c,Radial Velocity,2,532.58000000,0.912000,0.342000,0.21414,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,3264.00,0.35,0.40
GJ 1214 b,Transit,1,1.58040456,0.014110,,0.01970,0.254,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,12.95,3026.00,0.15,0.22
GJ 1265 b,Radial Velocity,1,3.65110000,0.026000,0.040000,0.02328,,22h13m42.88s,333.428676,-17d41m08.8s,-17.685771,10.26,3236.00,0.18,0.19
GJ 143 b,Transit,1,35.58900000,0.193200,0.325000,0.09637,,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,,0.76,0.73
GJ 163 b,Radial Velocity,3,8.63182000,0.060700,0.073000,0.03335,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500.00,0.40,
GJ 163 c,Radial Velocity,3,25.63058000,0.125400,0.099000,0.02140,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500.00,0.40,
GJ 163 d,Radial Velocity,3,603.95116000,1.030400,0.373000,0.09250,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,3500.00,0.40,
GJ 179 b,Radial Velocity,1,2288.00000000,2.410000,0.210000,0.82000,,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.36,3370.00,0.36,0.38
GJ 273 b,Radial Velocity,2,18.64980000,0.091101,0.100000,0.00909,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.80,3382.00,0.29,0.29
GJ 273 c,Radial Velocity,2,4.72340000,0.036467,0.170000,0.00371,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.80,3382.00,0.29,0.29
GJ 3021 b,Radial Velocity,1,133.71000000,0.490000,0.511000,3.37000,,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.56,5540.00,0.90,0.90
GJ 3138 b,Radial Velocity,3,1.22003000,0.019700,0.190000,0.00560,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,3717.00,0.68,0.50
GJ 3138 c,Radial Velocity,3,5.97400000,0.057000,0.110000,0.01315,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,3717.00,0.68,0.50
GJ 3138 d,Radial Velocity,3,257.80000000,0.698000,0.320000,0.03304,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,3717.00,0.68,0.50
GJ 317 b,Radial Velocity,2,692.00000000,1.150000,0.110000,2.50000,,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,15.10,3510.00,0.42,
GJ 317 c,Radial Velocity,2,5312.00000000,,0.308000,1.54000,,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,15.10,3510.00,0.42,
GJ 328 b,Radial Velocity,1,4100.00000000,4.500000,0.370000,2.30000,,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.54,3900.00,0.69,
GJ 3293 b,Radial Velocity,4,30.59870000,0.143390,0.060000,0.07406,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,20.20,3466.00,0.42,0.40
GJ 3293 c,Radial Velocity,4,122.61960000,0.361750,0.110000,0.06636,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,20.20,3466.00,0.42,0.40
GJ 3293 d,Radial Velocity,4,48.13450000,0.193940,0.120000,0.02391,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,20.20,3466.00,0.42,0.40
GJ 3293 e,Radial Velocity,4,13.25430000,0.082080,0.210000,0.01032,,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,20.20,3466.00,0.42,0.40
GJ 3323 b,Radial Velocity,2,5.36360000,0.032820,0.230000,0.00636,,05h01m57.43s,75.489280,-06d56m46.5s,-6.946263,5.32,3159.00,0.16,0.12
GJ 3323 c,Radial Velocity,2,40.54000000,0.126400,0.170000,0.00727,,05h01m57.43s,75.489280,-06d56m46.5s,-6.946263,5.32,3159.00,0.16,0.12
GJ 3341 b,Radial Velocity,1,14.20700000,0.089000,0.310000,0.02080,,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,23.16,3526.00,0.47,0.44
GJ 3470 b,Radial Velocity,1,3.33664960,0.035500,,0.04373,0.408,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,25.20,3600.00,0.54,0.55
GJ 3634 b,Radial Velocity,1,2.64561000,0.028700,0.080000,0.02600,,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,19.80,,0.45,0.43
GJ 3779 b,Radial Velocity,1,3.02320000,0.026000,0.070000,0.02517,,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,13.75,3324.00,0.27,0.28
GJ 3942 b,Radial Velocity,1,6.90500000,0.060800,0.121000,0.02246,,16h09m03.14s,242.263092,+52d56m37.9s,52.943874,16.94,3867.00,0.63,0.61
GJ 3998 b,Radial Velocity,2,2.64977000,0.029000,0.000000,0.00777,,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,17.79,3722.00,0.50,0.49
GJ 3998 c,Radial Velocity,2,13.74000000,0.089000,0.049000,0.01970,,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,17.79,3722.00,0.50,0.49
